"Master_Incident_Number","Response_Date","Time_First_Unit_Assigned","All_Calls","Unit_Assigned","Stop","Arrest","year"
"210831GG01936",2021-08-31,NA,"All Calls",NA,NA,NA,2021
"210831GG02936",2021-08-31,NA,"All Calls",NA,NA,NA,2021
"210831GG02938",2021-08-31,NA,"All Calls",NA,NA,NA,2021
"210901GG03022",2021-09-01,NA,"All Calls",NA,NA,NA,2021
"210902GG02477",2021-09-02,NA,"All Calls",NA,NA,NA,2021
"210902GG02553",2021-09-02,NA,"All Calls",NA,NA,NA,2021
"210903GG01401",2021-09-03,NA,"All Calls",NA,NA,NA,2021
"210903GG02417",2021-09-03,NA,"All Calls",NA,NA,NA,2021
"210903GG02994",2021-09-03,NA,"All Calls",NA,NA,NA,2021
"210904GG02602",2021-09-04,NA,"All Calls",NA,NA,NA,2021
"210904GG02927",2021-09-04,NA,"All Calls",NA,NA,NA,2021
"210905GG02509",2021-09-05,NA,"All Calls",NA,NA,NA,2021
"210905GG02699",2021-09-05,NA,"All Calls",NA,NA,NA,2021
"210906GG00285",2021-09-06,NA,"All Calls",NA,NA,NA,2021
"210906GG02608",2021-09-06,NA,"All Calls",NA,NA,NA,2021
"210908GG02185",2021-09-08,2021-09-08,"All Calls","Unit Assigned",NA,NA,2021
"210908GG02437",2021-09-08,NA,"All Calls",NA,NA,NA,2021
"210909GG02876",2021-09-09,NA,"All Calls",NA,NA,NA,2021
"210910GG01739",2021-09-10,NA,"All Calls",NA,NA,NA,2021
"210910GG02813",2021-09-10,NA,"All Calls",NA,NA,NA,2021
"210911GG01538",2021-09-11,NA,"All Calls",NA,NA,NA,2021
"210911GG02222",2021-09-11,NA,"All Calls",NA,NA,NA,2021
"210912GG00643",2021-09-12,NA,"All Calls",NA,NA,NA,2021
"210912GG01481",2021-09-12,NA,"All Calls",NA,NA,NA,2021
"210912GG02481",2021-09-12,NA,"All Calls",NA,NA,NA,2021
"210912GG02552",2021-09-12,NA,"All Calls",NA,NA,NA,2021
"210912GG02945",2021-09-12,NA,"All Calls",NA,NA,NA,2021
"210913GG00105",2021-09-13,NA,"All Calls",NA,NA,NA,2021
"210913GG00161",2021-09-13,NA,"All Calls",NA,NA,NA,2021
"210913GG02737",2021-09-13,NA,"All Calls",NA,NA,NA,2021
"210914GG02147",2021-09-14,NA,"All Calls",NA,NA,NA,2021
"210915GG00032",2021-09-15,NA,"All Calls",NA,NA,NA,2021
"210915GG01624",2021-09-15,NA,"All Calls",NA,NA,NA,2021
"210916GG02387",2021-09-16,NA,"All Calls",NA,NA,NA,2021
"210917GG00738",2021-09-17,NA,"All Calls",NA,NA,NA,2021
"210917GG02116",2021-09-17,NA,"All Calls",NA,NA,NA,2021
"210917GG02999",2021-09-17,NA,"All Calls",NA,NA,NA,2021
"210918GG00049",2021-09-18,NA,"All Calls",NA,NA,NA,2021
"210918GG00413",2021-09-18,NA,"All Calls",NA,NA,NA,2021
"210918GG03125",2021-09-18,NA,"All Calls",NA,NA,NA,2021
"210920GG00431",2021-09-20,NA,"All Calls",NA,NA,NA,2021
"210920GG02425",2021-09-20,NA,"All Calls",NA,NA,NA,2021
"210921GG00028",2021-09-21,NA,"All Calls",NA,NA,NA,2021
"210921GG00145",2021-09-21,NA,"All Calls",NA,NA,NA,2021
"210921GG02682",2021-09-21,NA,"All Calls",NA,NA,NA,2021
"210922GG01630",2021-09-22,NA,"All Calls",NA,NA,NA,2021
"210922GG02540",2021-09-22,NA,"All Calls",NA,NA,NA,2021
"210923GG00219",2021-09-23,NA,"All Calls",NA,NA,NA,2021
"210923GG02743",2021-09-23,NA,"All Calls",NA,NA,NA,2021
"210924GG00177",2021-09-24,NA,"All Calls",NA,NA,NA,2021
"210924GG00292",2021-09-24,NA,"All Calls",NA,NA,NA,2021
"210924GG02704",2021-09-24,NA,"All Calls",NA,NA,NA,2021
"210925GG00806",2021-09-25,NA,"All Calls",NA,NA,NA,2021
"210925GG01220",2021-09-25,NA,"All Calls",NA,NA,NA,2021
"210926GG00496",2021-09-26,NA,"All Calls",NA,NA,NA,2021
"210927GG00144",2021-09-27,NA,"All Calls",NA,NA,NA,2021
"210928GG00014",2021-09-28,NA,"All Calls",NA,NA,NA,2021
"210928GG02386",2021-09-28,NA,"All Calls",NA,NA,NA,2021
"210929GG00144",2021-09-29,2021-09-29,"All Calls","Unit Assigned",NA,NA,2021
"210929GG02260",2021-09-29,NA,"All Calls",NA,NA,NA,2021
"210929GG02706",2021-09-29,NA,"All Calls",NA,NA,NA,2021
"210930GG02102",2021-09-30,NA,"All Calls",NA,NA,NA,2021
"211001GG00006",2021-09-30,2021-10-01,"All Calls","Unit Assigned",NA,NA,2021
"211001GG00099",2021-10-01,NA,"All Calls",NA,NA,NA,2021
"211001GG00144",2021-10-01,2021-10-01,"All Calls","Unit Assigned",NA,NA,2021
"211001GG00497",2021-10-01,NA,"All Calls",NA,NA,NA,2021
"211001GG01889",2021-10-01,NA,"All Calls",NA,NA,NA,2021
"211001GG02404",2021-10-01,NA,"All Calls",NA,NA,NA,2021
"211001GG02927",2021-10-01,NA,"All Calls",NA,NA,NA,2021
"211001GG02933",2021-10-01,NA,"All Calls",NA,NA,NA,2021
"211002GG00029",2021-10-02,NA,"All Calls",NA,NA,NA,2021
"211002GG01551",2021-10-02,NA,"All Calls",NA,NA,NA,2021
"211002GG01873",2021-10-02,NA,"All Calls",NA,NA,NA,2021
"211002GG01879",2021-10-02,2021-10-02,"All Calls","Unit Assigned",NA,"Arrest",2021
"211002GG02928",2021-10-02,NA,"All Calls",NA,NA,NA,2021
"211003GG01425",2021-10-03,NA,"All Calls",NA,NA,NA,2021
"211003GG02571",2021-10-03,2021-10-03,"All Calls","Unit Assigned",NA,NA,2021
"211003GG02719",2021-10-03,NA,"All Calls",NA,NA,NA,2021
"211004GG02730",2021-10-04,NA,"All Calls",NA,NA,NA,2021
"211006GG01564",2021-10-06,NA,"All Calls",NA,NA,NA,2021
"211006GG02533",2021-10-06,NA,"All Calls",NA,NA,NA,2021
"211006GG02756",2021-10-06,NA,"All Calls",NA,NA,NA,2021
"211007GG00510",2021-10-07,NA,"All Calls",NA,NA,NA,2021
"211008GG00271",2021-10-08,NA,"All Calls",NA,NA,NA,2021
"211008GG00597",2021-10-08,NA,"All Calls",NA,NA,NA,2021
"211008GG02359",2021-10-08,NA,"All Calls",NA,NA,NA,2021
"211008GG02437",2021-10-08,NA,"All Calls",NA,NA,NA,2021
"211008GG02801",2021-10-08,NA,"All Calls",NA,NA,NA,2021
"211009GG01700",2021-10-09,NA,"All Calls",NA,NA,NA,2021
"211009GG02254",2021-10-09,NA,"All Calls",NA,NA,NA,2021
"211009GG02353",2021-10-09,NA,"All Calls",NA,NA,NA,2021
"211009GG02489",2021-10-09,NA,"All Calls",NA,NA,NA,2021
"211009GG02509",2021-10-09,NA,"All Calls",NA,NA,NA,2021
"211009GG02615",2021-10-09,NA,"All Calls",NA,NA,NA,2021
"211010GG01952",2021-10-10,NA,"All Calls",NA,NA,NA,2021
"211010GG02126",2021-10-10,NA,"All Calls",NA,NA,NA,2021
"211011GG00076",2021-10-11,NA,"All Calls",NA,NA,NA,2021
"211011GG02025",2021-10-11,NA,"All Calls",NA,NA,NA,2021
"211011GG02902",2021-10-11,NA,"All Calls",NA,NA,NA,2021
"211012GG01251",2021-10-12,NA,"All Calls",NA,NA,NA,2021
"211014GG00017",2021-10-14,NA,"All Calls",NA,NA,NA,2021
"211014GG01906",2021-10-14,NA,"All Calls",NA,NA,NA,2021
"211015GG00253",2021-10-15,NA,"All Calls",NA,NA,NA,2021
"211015GG00498",2021-10-15,NA,"All Calls",NA,NA,NA,2021
"211015GG01995",2021-10-15,NA,"All Calls",NA,NA,NA,2021
"211015GG02315",2021-10-15,NA,"All Calls",NA,NA,NA,2021
"211015GG02581",2021-10-15,NA,"All Calls",NA,NA,NA,2021
"211015GG02591",2021-10-15,NA,"All Calls",NA,NA,NA,2021
"211016GG00206",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211016GG01209",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211016GG01564",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211016GG02272",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211016GG02379",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211016GG02550",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211016GG02840",2021-10-16,NA,"All Calls",NA,NA,NA,2021
"211017GG01633",2021-10-17,NA,"All Calls",NA,NA,NA,2021
"211017GG02056",2021-10-17,NA,"All Calls",NA,NA,NA,2021
"211018GG00140",2021-10-18,NA,"All Calls",NA,NA,NA,2021
"211018GG01312",2021-10-18,NA,"All Calls",NA,NA,NA,2021
"211018GG01590",2021-10-18,NA,"All Calls",NA,NA,NA,2021
"211018GG02061",2021-10-18,NA,"All Calls",NA,NA,NA,2021
"211019GG02442",2021-10-19,NA,"All Calls",NA,NA,NA,2021
"211019GG02449",2021-10-19,NA,"All Calls",NA,NA,NA,2021
"211020GG02145",2021-10-20,NA,"All Calls",NA,NA,NA,2021
"211021GG02730",2021-10-21,NA,"All Calls",NA,NA,NA,2021
"211022GG00491",2021-10-22,NA,"All Calls",NA,NA,NA,2021
"211022GG01712",2021-10-22,NA,"All Calls",NA,NA,NA,2021
"211022GG01823",2021-10-22,NA,"All Calls",NA,NA,NA,2021
"211023GG02068",2021-10-23,NA,"All Calls",NA,NA,NA,2021
"211023GG02306",2021-10-23,NA,"All Calls",NA,NA,NA,2021
"211023GG02527",2021-10-23,NA,"All Calls",NA,NA,NA,2021
"211024GG00557",2021-10-24,NA,"All Calls",NA,NA,NA,2021
"211026GG00392",2021-10-26,NA,"All Calls",NA,NA,NA,2021
"211027GG02486",2021-10-27,NA,"All Calls",NA,NA,NA,2021
"211028GG02552",2021-10-28,NA,"All Calls",NA,NA,NA,2021
"211028GG02585",2021-10-28,NA,"All Calls",NA,NA,NA,2021
"211029GG00068",2021-10-29,NA,"All Calls",NA,NA,NA,2021
"211029GG00385",2021-10-29,NA,"All Calls",NA,NA,NA,2021
"211029GG02812",2021-10-29,NA,"All Calls",NA,NA,NA,2021
"211030GG00969",2021-10-30,NA,"All Calls",NA,NA,NA,2021
"211030GG02028",2021-10-30,NA,"All Calls",NA,NA,NA,2021
"211030GG02289",2021-10-30,NA,"All Calls",NA,NA,NA,2021
"211031GG00772",2021-10-31,NA,"All Calls",NA,NA,NA,2021
"211031GG01505",2021-10-31,NA,"All Calls",NA,NA,NA,2021
"211101GG00136",2021-11-01,NA,"All Calls",NA,NA,NA,2021
"211101GG00697",2021-11-01,NA,"All Calls",NA,NA,NA,2021
"211101GG02417",2021-11-01,NA,"All Calls",NA,NA,NA,2021
"211101GG02436",2021-11-01,NA,"All Calls",NA,NA,NA,2021
"211101GG02513",2021-11-01,NA,"All Calls",NA,NA,NA,2021
"211102GG01482",2021-11-02,NA,"All Calls",NA,NA,NA,2021
"211102GG02734",2021-11-02,2021-11-02,"All Calls","Unit Assigned",NA,NA,2021
"211103GG01178",2021-11-03,NA,"All Calls",NA,NA,NA,2021
"211105GG00560",2021-11-05,NA,"All Calls",NA,NA,NA,2021
"211105GG01648",2021-11-05,NA,"All Calls",NA,NA,NA,2021
"211105GG02101",2021-11-05,NA,"All Calls",NA,NA,NA,2021
"211105GG02328",2021-11-05,NA,"All Calls",NA,NA,NA,2021
"211105GG02340",2021-11-05,NA,"All Calls",NA,NA,NA,2021
"211106GG00273",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211106GG01028",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211106GG01224",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211106GG01762",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211106GG01764",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211106GG01895",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211106GG02649",2021-11-06,NA,"All Calls",NA,NA,NA,2021
"211107GG00014",2021-11-07,NA,"All Calls",NA,NA,NA,2021
"211107GG02392",2021-11-07,NA,"All Calls",NA,NA,NA,2021
"211107GG02666",2021-11-07,NA,"All Calls",NA,NA,NA,2021
"211108GG02144",2021-11-08,NA,"All Calls",NA,NA,NA,2021
"211110GG01925",2021-11-10,NA,"All Calls",NA,NA,NA,2021
"211112GG00034",2021-11-12,NA,"All Calls",NA,NA,NA,2021
"211112GG01723",2021-11-12,NA,"All Calls",NA,NA,NA,2021
"211112GG02244",2021-11-12,NA,"All Calls",NA,NA,NA,2021
"211112GG02830",2021-11-12,NA,"All Calls",NA,NA,NA,2021
"211112GG03000",2021-11-12,NA,"All Calls",NA,NA,NA,2021
"211113GG00454",2021-11-13,NA,"All Calls",NA,NA,NA,2021
"211113GG02096",2021-11-13,NA,"All Calls",NA,NA,NA,2021
"211113GG02242",2021-11-13,NA,"All Calls",NA,NA,NA,2021
"211114GG00342",2021-11-14,NA,"All Calls",NA,NA,NA,2021
"211114GG00380",2021-11-14,NA,"All Calls",NA,NA,NA,2021
"211114GG01273",2021-11-14,NA,"All Calls",NA,NA,NA,2021
"211114GG02165",2021-11-14,NA,"All Calls",NA,NA,NA,2021
"211114GG02215",2021-11-14,NA,"All Calls",NA,NA,NA,2021
"211115GG00751",2021-11-15,NA,"All Calls",NA,NA,NA,2021
"211116GG01681",2021-11-16,NA,"All Calls",NA,NA,NA,2021
"211118GG00033",2021-11-18,NA,"All Calls",NA,NA,NA,2021
"211118GG01615",2021-11-18,NA,"All Calls",NA,NA,NA,2021
"211118GG02625",2021-11-18,NA,"All Calls",NA,NA,NA,2021
"211118GG02742",2021-11-18,2021-11-18,"All Calls","Unit Assigned",NA,NA,2021
"211119GG02407",2021-11-19,NA,"All Calls",NA,NA,NA,2021
"211119GG02431",2021-11-19,NA,"All Calls",NA,NA,NA,2021
"211119GG02490",2021-11-19,NA,"All Calls",NA,NA,NA,2021
"211119GG02758",2021-11-19,NA,"All Calls",NA,NA,NA,2021
"211119GG02803",2021-11-19,NA,"All Calls",NA,NA,NA,2021
"211120GG00689",2021-11-20,NA,"All Calls",NA,NA,NA,2021
"211120GG01261",2021-11-20,NA,"All Calls",NA,NA,NA,2021
"211120GG01551",2021-11-20,NA,"All Calls",NA,NA,NA,2021
"211120GG02534",2021-11-20,NA,"All Calls",NA,NA,NA,2021
"211120GG02662",2021-11-20,NA,"All Calls",NA,NA,NA,2021
"211121GG00132",2021-11-21,NA,"All Calls",NA,NA,NA,2021
"211121GG01472",2021-11-21,NA,"All Calls",NA,NA,NA,2021
"211123GG02132",2021-11-23,NA,"All Calls",NA,NA,NA,2021
"211123GG02644",2021-11-23,NA,"All Calls",NA,NA,NA,2021
"211124GG00652",2021-11-24,NA,"All Calls",NA,NA,NA,2021
"211124GG01239",2021-11-24,NA,"All Calls",NA,NA,NA,2021
"211124GG01596",2021-11-24,NA,"All Calls",NA,NA,NA,2021
"211125GG01498",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211125GG01524",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211125GG01932",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211125GG02213",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211125GG02315",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211125GG02395",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211125GG02522",2021-11-25,NA,"All Calls",NA,NA,NA,2021
"211126GG00918",2021-11-26,2021-11-26,"All Calls","Unit Assigned",NA,NA,2021
"211126GG01827",2021-11-26,NA,"All Calls",NA,NA,NA,2021
"211127GG00063",2021-11-27,NA,"All Calls",NA,NA,NA,2021
"211127GG00210",2021-11-27,NA,"All Calls",NA,NA,NA,2021
"211127GG00349",2021-11-27,NA,"All Calls",NA,NA,NA,2021
"211127GG02384",2021-11-27,NA,"All Calls",NA,NA,NA,2021
"211128GG00212",2021-11-28,NA,"All Calls",NA,NA,NA,2021
"211128GG02293",2021-11-28,NA,"All Calls",NA,NA,NA,2021
"211128GG02394",2021-11-28,NA,"All Calls",NA,NA,NA,2021
"211128GG02553",2021-11-28,NA,"All Calls",NA,NA,NA,2021
"211129GG01407",2021-11-29,NA,"All Calls",NA,NA,NA,2021
"211130GG02060",2021-11-30,NA,"All Calls",NA,NA,NA,2021
"211130GG02200",2021-11-30,NA,"All Calls",NA,NA,NA,2021
"211130GG02504",2021-11-30,NA,"All Calls",NA,NA,NA,2021
"211201GG00154",2021-12-01,2021-12-01,"All Calls","Unit Assigned","Stop",NA,2021
"211202GG00846",2021-12-02,2021-12-02,"All Calls","Unit Assigned",NA,NA,2021
"211202GG01497",2021-12-02,NA,"All Calls",NA,NA,NA,2021
"211202GG01609",2021-12-02,NA,"All Calls",NA,NA,NA,2021
"211202GG02414",2021-12-02,NA,"All Calls",NA,NA,NA,2021
"211202GG02727",2021-12-02,NA,"All Calls",NA,NA,NA,2021
"211204GG00228",2021-12-04,2021-12-04,"All Calls","Unit Assigned","Stop",NA,2021
"211204GG01657",2021-12-04,NA,"All Calls",NA,NA,NA,2021
"211204GG02298",2021-12-04,NA,"All Calls",NA,NA,NA,2021
"211205GG00395",2021-12-05,NA,"All Calls",NA,NA,NA,2021
"211205GG00536",2021-12-05,NA,"All Calls",NA,NA,NA,2021
"211205GG01401",2021-12-05,NA,"All Calls",NA,NA,NA,2021
"211205GG02649",2021-12-05,NA,"All Calls",NA,NA,NA,2021
"211206GG02065",2021-12-06,NA,"All Calls",NA,NA,NA,2021
"211206GG02536",2021-12-06,NA,"All Calls",NA,NA,NA,2021
"211207GG00258",2021-12-07,NA,"All Calls",NA,NA,NA,2021
"211208GG01787",2021-12-08,NA,"All Calls",NA,NA,NA,2021
"211208GG01978",2021-12-08,NA,"All Calls",NA,NA,NA,2021
"211209GG01996",2021-12-09,NA,"All Calls",NA,NA,NA,2021
"211209GG02303",2021-12-09,NA,"All Calls",NA,NA,NA,2021
"211210GG00267",2021-12-10,NA,"All Calls",NA,NA,NA,2021
"211210GG01318",2021-12-10,NA,"All Calls",NA,NA,NA,2021
"211210GG01550",2021-12-10,NA,"All Calls",NA,NA,NA,2021
"211210GG02280",2021-12-10,2021-12-10,"All Calls","Unit Assigned",NA,NA,2021
"211210GG02503",2021-12-10,NA,"All Calls",NA,NA,NA,2021
"211210GG02888",2021-12-10,NA,"All Calls",NA,NA,NA,2021
"211210GG02908",2021-12-10,NA,"All Calls",NA,NA,NA,2021
"211211GG00115",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG00228",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG01875",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG02129",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG02350",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG02396",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG02459",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211211GG02834",2021-12-11,NA,"All Calls",NA,NA,NA,2021
"211212GG00277",2021-12-12,NA,"All Calls",NA,NA,NA,2021
"211213GG01726",2021-12-13,NA,"All Calls",NA,NA,NA,2021
"211213GG02835",2021-12-13,NA,"All Calls",NA,NA,NA,2021
"211214GG01726",2021-12-14,NA,"All Calls",NA,NA,NA,2021
"211214GG02554",2021-12-14,NA,"All Calls",NA,NA,NA,2021
"211215GG00075",2021-12-15,NA,"All Calls",NA,NA,NA,2021
"211215GG01390",2021-12-15,NA,"All Calls",NA,NA,NA,2021
"211216GG01688",2021-12-16,NA,"All Calls",NA,NA,NA,2021
"211216GG02814",2021-12-16,NA,"All Calls",NA,NA,NA,2021
"211216GG02892",2021-12-16,NA,"All Calls",NA,NA,NA,2021
"211216GG02969",2021-12-16,2021-12-16,"All Calls","Unit Assigned",NA,NA,2021
"211217GG00132",2021-12-17,2021-12-17,"All Calls","Unit Assigned","Stop",NA,2021
"211217GG00349",2021-12-17,NA,"All Calls",NA,NA,NA,2021
"211217GG02734",2021-12-17,NA,"All Calls",NA,NA,NA,2021
"211217GG02732",2021-12-17,NA,"All Calls",NA,NA,NA,2021
"211217GG02781",2021-12-17,NA,"All Calls",NA,NA,NA,2021
"211217GG02793",2021-12-17,NA,"All Calls",NA,NA,NA,2021
"211217GG02847",2021-12-17,NA,"All Calls",NA,NA,NA,2021
"211217GG02924",2021-12-17,2021-12-17,"All Calls","Unit Assigned",NA,"Arrest",2021
"211218GG00467",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG00549",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG00562",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG01988",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG02017",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG02058",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG02057",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG02329",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211218GG02413",2021-12-18,NA,"All Calls",NA,NA,NA,2021
"211219GG00046",2021-12-19,NA,"All Calls",NA,NA,NA,2021
"211219GG02028",2021-12-19,NA,"All Calls",NA,NA,NA,2021
"211219GG02132",2021-12-19,NA,"All Calls",NA,NA,NA,2021
"211220GG01416",2021-12-20,NA,"All Calls",NA,NA,NA,2021
"211220GG02221",2021-12-20,NA,"All Calls",NA,NA,NA,2021
"211222GG02398",2021-12-22,NA,"All Calls",NA,NA,NA,2021
"211222GG02534",2021-12-22,NA,"All Calls",NA,NA,NA,2021
"211223GG00191",2021-12-23,NA,"All Calls",NA,NA,NA,2021
"211223GG01156",2021-12-23,NA,"All Calls",NA,NA,NA,2021
"211224GG02157",2021-12-24,NA,"All Calls",NA,NA,NA,2021
"211224GG02497",2021-12-24,NA,"All Calls",NA,NA,NA,2021
"211224GG02499",2021-12-24,NA,"All Calls",NA,NA,NA,2021
"211224GG02533",2021-12-24,NA,"All Calls",NA,NA,NA,2021
"211224GG02541",2021-12-24,NA,"All Calls",NA,NA,NA,2021
"211225GG00034",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211225GG00039",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211225GG00069",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211225GG00887",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211225GG01394",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211225GG02279",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211225GG02281",2021-12-25,NA,"All Calls",NA,NA,NA,2021
"211228GG02169",2021-12-28,NA,"All Calls",NA,NA,NA,2021
"211229GG01496",2021-12-29,NA,"All Calls",NA,NA,NA,2021
"211230GG00157",2021-12-30,2021-12-30,"All Calls","Unit Assigned",NA,NA,2021
"211230GG02404",2021-12-30,NA,"All Calls",NA,NA,NA,2021
"211230GG02544",2021-12-30,2021-12-30,"All Calls","Unit Assigned",NA,NA,2021
"211231GG00127",2021-12-31,NA,"All Calls",NA,NA,NA,2021
"220101GG00402",2022-01-01,NA,"All Calls",NA,NA,NA,2022
"220101GG02520",2022-01-01,NA,"All Calls",NA,NA,NA,2022
"220102GG00507",2022-01-02,NA,"All Calls",NA,NA,NA,2022
"220102GG01566",2022-01-02,NA,"All Calls",NA,NA,NA,2022
"220102GG01625",2022-01-02,NA,"All Calls",NA,NA,NA,2022
"220102GG01911",2022-01-02,NA,"All Calls",NA,NA,NA,2022
